,report_ending_weekly_starting,number_of_sessions,average_session_length,number_of_unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth,cumulative_sessions,cumulative_subscribers,sessions_per_user,GB_per_session,log_number_of_sessions,log_number_of_unique_clients,log_tb_downloaded,week
21,2020-05-31,5633095,00:05:30,280269,81.22,6.77,16699.77,2536009755,8946391,20.098887140568525,0.01562018748130468,15.544169582637888,12.54350513524649,4.397161522258152,6
22,2020-06-07,8168000,00:05:15,320719,104.97,9.17,16813.91,2544177755,8955241,25.4677770883546,0.013974045053868756,15.915734638826638,12.678320629326993,4.653674595047707,6
23,2020-06-14,6163299,00:05:05,293302,77.93,6.55,16898.4,2550341054,8964884,21.013491213834204,0.013706944933224885,15.63412274410099,12.588958073898993,4.355810987855469,6
24,2020-06-21,6389732,00:05:04,302763,82.46,6.94,16987.8,2556730786,8974670,21.10473208417145,0.013991197126890455,15.670202884942107,12.620705600212696,4.412313327278754,6
25,2020-06-28,6724902,00:04:59,313709,79.52,6.95,17074.26,2563455688,8983785,21.436751894271442,0.012858179940763449,15.72132791085529,12.656221083598274,4.376008562348319,6
26,2020-07-05,6927619,00:04:45,320317,74.27,6.33,17154.87,2570383307,8993007,21.62738474698502,0.011634589026908091,15.751026733485842,12.67706640943077,4.307707101681205,6
27,2020-07-12,6798038,00:04:42,321109,69.56,6.13,17230.57,2577181345,8999948,21.170499736849482,0.011134094866783621,15.732144599101952,12.679535908336321,4.242189689486082,6
28,2020-07-19,6441690,00:04:39,336224,72.29,6.56,17309.42,2590475174,9012106,19.158923812696298,0.012240576618868652,15.67830148601406,12.725532883488501,4.280685807012206,6
29,2020-07-26,6852139,00:04:48,326115,79.36,6.25,17395.02,2584033484,9023383,21.01141928460819,0.012493908836350227,15.740071424268258,12.695005358879602,4.373994462976618,6
30,2020-08-02,6446406,00:04:47,333403,65.66,6.06,17466.75,2596921580,9034477,19.335176948017864,0.0111255791211413,15.679033324170835,12.717107247458706,4.184489912073446,6
31,2020-08-09,6389489,00:04:49,331488,70.0,6.35,17543.09,2603311069,9037870,19.275174365286226,0.011949312378501628,15.670164854454955,12.711346888857829,4.248495242049359,6
32,2020-08-16,6351869,00:04:46,324810,75.13,6.7,17624.92,2609662938,9059026,19.55564483852098,0.012882822362992688,15.66425965827075,12.690995674973054,4.319219946381069,6
33,2020-08-23,6676620,00:04:45,333338,77.1,7.06,17709.09,2616339558,9048666,20.0295795858858,0.012605180465564912,15.714122429433738,12.716912269198165,4.345103280569283,6
34,2020-08-30,6687770,00:04:44,332705,76.45,7.09,17792.63,2623027328,9084170,20.10120076343908,0.012491458288786846,15.715791043203174,12.715011490447894,4.336636932375072,6
35,2020-09-06,6834866,00:04:43,340704,75.06,7.08,17874.77,2629862194,9072014,20.061008969662815,0.012017792301999775,15.737547422973611,12.738769344114333,4.318287793706875,6
36,2020-09-13,6204376,00:05:43,340440,75.5,7.13,17957.39,2636066570,9095367,18.2245799553519,0.013318019410815849,15.6407654075027,12.737994177590897,4.324132656254979,6
37,2020-09-20,6392008,00:05:56,374923,78.78,6.85,18044.12,2642458578,9108566,17.048855364968272,0.013396416274823185,15.67055901799192,12.83447595053544,4.36665915754276,6
38,2020-09-27,6442356,00:05:56,402303,73.72,7.95,18124.68,2648900934,9123892,16.013691173071045,0.012677039269484642,15.678404869687261,12.904960815031627,4.300274132801622,6
39,2020-10-04,6285801,00:05:51,384666,69.92,6.22,18200.82,2655181307,9138404,16.340932133331254,0.012113014713637928,15.653803838186612,12.860130704278317,4.24735173134728,6
40,2020-10-11,6280373,00:05:51,373292,68.53,5.76,18275.11,2661467108,9152562,16.824290367862154,0.01182891525710336,15.652939931585033,12.830116234188175,4.227271605597732,6
41,2020-10-18,5874135,00:05:52,359705,65.2,6.26,18346.57,2667341243,9164578,16.330423541513184,0.012165195386214312,15.586069373111949,12.79303953005972,4.177459468932607,6
42,2020-10-25,6274887,00:05:51,368374,71.23,7.19,18424.99,2673616130,9178012,17.034011629485253,0.01249743620881141,15.652066034851849,12.816854005411269,4.265914077990263,6
43,2020-11-01,5978116,00:05:46,368236,71.69,7.82,18504.5,2679594246,9189753,16.234469199100577,0.01330017684501271,15.60361602612086,12.816479315951135,4.272351267864781,6
44,2020-11-08,6333555,00:05:40,417195,74.61,6.71,18585.82,2685927801,9205391,15.181282134253767,0.012839550615728449,15.66137224785012,12.941309017377302,4.312274546483423,6
45,2020-11-15,6053652,00:05:43,390323,71.36,7.33,18664.51,2691981453,9219907,15.509339700709413,0.012998765042985623,15.616172284255514,12.87472988046141,4.267737488271754,6
46,2020-11-22,5932215,00:05:45,380393,72.73,6.77,18744.02,2697913668,9233024,15.594963629719789,0.013401402342969701,15.595908225682956,12.84896020780162,4.286753954166449,6
47,2020-11-29,4988340,00:05:47,374868,62.95,6.55,18813.51,2702902008,9245113,13.306924037261116,0.013932490568004587,15.422613747051654,12.834329242986007,4.142340760490356,6
48,2020-12-06,5772250,00:05:43,376273,72.31,6.08,18891.9,2708674258,9257319,15.340590475532393,0.013580492875395209,15.56857251048125,12.838070222744992,4.28096243218686,6
49,2020-12-13,5970896,00:05:45,376212,70.82,6.83,18969.55,2714645154,9274071,15.871093957662168,0.013004748366074369,15.60240755785944,12.837908093266973,4.2601414466837575,6
50,2020-12-20,5179261,00:05:54,345424,65.52,5.53,19040.6,2719824415,9287019,14.993923410069943,0.013718173306964062,15.460172939965512,12.75252792693624,4.182355439544814,6
51,2020-12-27,5340185,00:05:47,356229,61.49,5.26,19107.34,2725164600,9302150,14.990876655185287,0.012499566962567776,15.490770854531037,12.783329061459112,4.118874559965378,6
52,2021-01-03,5257965,00:05:52,348002,59.99,5.73,19173.06,2730422565,9317463,15.10900799420693,0.012499132268853063,15.475254627726416,12.759963505866533,4.094177881665002,6
53,2021-01-10,5546857,00:05:48,347334,63.43,5.53,19242.02,2735969422,9331406,15.969807159679156,0.01243226569569037,15.52874201900433,12.758042132011294,4.149936935645806,6
54,2021-01-17,5489486,00:05:57,349506,70.73,5.98,19318.74,2741458908,9345447,15.706414196036691,0.013973985906877257,15.518345184330327,12.764276007890619,4.258869811047899,6
55,2021-01-24,5380109,00:05:57,345502,66.73,6.22,19391.69,2746839017,9358336,15.571860654931086,0.013559204841388903,15.49821919215578,12.752753710885118,4.200654626915515,6
56,2021-01-31,5162302,00:06:05,339770,69.18,8.25,19469.12,2752001319,9369957,15.193519145304176,0.014999122484504008,15.456893162005015,12.736024197094642,4.2367118035090225,6
57,2021-02-07,4740848,00:06:07,317993,63.78,7.18,19540.07,2756742167,9380112,14.908655221970294,0.014967786353833746,15.371726580623621,12.669784648941418,4.155439661581911,6
58,2021-02-14,5301324,00:06:05,343617,66.74,7.06,19613.87,2762043491,9392503,15.428002689040413,0.013921050665833667,15.483467158645453,12.747282944003375,4.2008044733232275,6
59,2021-02-21,4788654,00:06:07,361003,57.58,4.66,19676.12,2766832145,9401011,13.264859294798104,0.012997389245495707,15.381759927810931,12.796641547529795,4.05317528518403,6
60,2021-02-28,5090012,00:05:59,396149,60.81,6.15,19743.08,2771922157,9413643,12.84873115923554,0.013155175272671266,15.442790746087777,12.88954568209385,4.107754249132018,6
61,2021-03-07,5713874,00:05:57,358961,67.11,6.67,19816.86,2777636031,9427974,15.917812798604862,0.012912430340606042,15.558407810427171,12.790969026471704,4.206333064170148,6
62,2021-03-14,6188833,00:05:50,365769,65.22,6.56,19888.64,2783824864,9444023,16.92005883494774,0.011598309406636113,15.63825709699987,12.809757265585066,4.177766170361173,6
63,2021-03-21,5983309,00:05:57,353954,61.45,6.2,19956.28,2789808173,9457963,16.90419941574329,0.011306452666910568,15.604484317369815,12.776922240169698,4.118223836012044,6
64,2021-03-28,5838725,00:05:51,365168,59.03,6.35,20021.66,2795646898,9471009,15.989147460894712,0.011197650171912531,15.580023009050903,12.80811280064366,4.078045789252598,6
65,2021-04-04,5648212,00:05:49,363226,63.21,6.72,20091.59,2801295110,9483600,15.55013132319823,0.012380909215164021,15.546849592861545,12.80278050905021,4.146462516484207,6
66,2021-04-11,6221739,00:05:47,370636,65.31,6.53,20163.43,2807516849,9500218,16.786655910381075,0.011546611003772418,15.64356000763317,12.822975727888975,4.179145163914566,6
67,2021-04-18,6214652,00:05:43,372583,61.77,5.43,20230.63,2813731501,9516230,16.679912932152032,0.010813155748704836,15.642420287795293,12.828215110773277,4.123417809707808,6
68,2021-04-25,6518892,00:05:42,377528,68.87,7.64,20307.14,2820250393,9532396,17.267307325549364,0.011736657088351825,15.690214980811321,12.841400017106027,4.232220669556607,6
69,2021-05-02,6758954,00:05:36,386712,64.87,6.5,20378.51,2827009347,9549230,17.47800430294379,0.010559326191597104,15.726378702318838,12.865435508921514,4.172385267224964,6
70,2021-05-09,5605557,00:05:35,379065,55.56,6.62,20440.69,2832614904,9564366,14.787851687705276,0.011092564039577155,15.539268985108512,12.845462973317225,4.017463517886143,6
71,2021-05-16,7057845,00:05:32,402584,63.66,7.32,20511.67,2839672749,9582801,17.531359914949427,0.010056894136949733,15.769650322080771,12.90565904971902,4.1535564218539465,6
72,2021-05-23,5556566,00:04:23,385352,45.6,4.85,20562.12,2845229315,9599681,14.419455458905105,0.00907934864806789,15.530490849518038,12.861912481279605,3.8199077165203406,6
73,2021-05-30,6765640,00:04:53,395566,56.93,6.55,20625.6,2851994955,9617639,17.103694453011634,0.009382704370909479,15.727367419694703,12.888072929637783,4.0418224429629905,6
74,2021-06-06,7525005,00:04:15,415191,63.79,6.29,20695.68,2859519960,9637921,18.12420066908965,0.00931295062262417,15.83374203305082,12.936493934298303,4.1555964382538635,6
75,2021-06-13,7944214,00:04:09,423948,64.06,6.38,20766.13,2867464174,9657913,18.73865191013992,0.008866830626667408,15.887954422914298,12.957366085183576,4.159820144181012,6
76,2021-06-20,7943219,00:04:55,429850,60.32,5.58,20832.02,2875407393,9680498,18.479048505292543,0.00829638462693777,15.88782916668174,12.97119158960259,4.099663723699701,6
77,2021-06-27,7512627,00:05:28,453555,53.0,5.13,20890.14,2882920020,9699767,16.56387207725634,0.007737639576675376,15.83209576284078,13.024871820125197,3.970291913552122,6
78,2021-07-04,7430943,00:05:17,417960,50.68,4.57,20945.39,2890350963,9718278,17.779076945162217,0.007435126335917259,15.821163326540951,12.943141013148047,3.925531355452938,6
79,2021-07-11,7812188,00:04:51,423095,54.62,5.24,21005.25,2898163151,9741563,18.464382703648116,0.007662386005047498,15.87119563622933,12.955352019101106,4.000400116045559,6
80,2021-07-18,8543783,00:04:33,499009,55.54,5.58,21066.37,2906697934,9765548,17.121500814614567,0.0071537397426877525,15.960714441919505,13.120379410643151,4.017103481878653,6
81,2021-07-25,7047559,00:04:39,475745,53.57,5.51,21125.45,2913745493,9788767,14.813732146422979,0.008383044398776938,15.768191873698399,13.072637275381677,3.980989209892869,6
82,2021-08-01,7644607,00:04:21,402898,50.8,5.14,21181.39,2921390100,9809524,18.97405050409781,0.007317576953269148,15.84951098987615,12.906438707156196,3.927896354584436,6
83,2021-08-08,7765908,00:04:06,410928,67.07,6.56,21255.02,2929156008,9830942,18.89846396449013,0.00948118365553648,15.86525394269315,12.926173295650377,4.205736850111646,6
84,2021-08-15,7894787,00:04:17,435251,51.54,6.55,21313.12,2937050795,9848073,18.138469526778803,0.007358019918713449,15.881713226207241,12.983678155157952,3.942358205224219,6
85,2021-08-22,9208116,00:03:34,430609,50.27,5.04,21368.42,2946258911,9870612,21.38393763251581,0.006006657605095332,16.0355958270456,12.972955764762252,3.917408477704484,6
86,2021-08-29,8777860,00:03:43,438745,48.16,4.51,21421.1,2955036771,9892788,20.006746515629807,0.006000323541273157,15.987743200139812,12.991673657685881,3.8745288010005656,6
87,2021-09-05,7957774,00:04:05,441150,49.6,4.65,21475.35,2962994545,9915482,18.038703388869997,0.006817233060401062,15.8896598704705,12.997140232650251,3.903990833730882,6
88,2021-09-12,8393949,00:04:07,450115,50.49,6.39,21532.23,2971388494,9940897,18.648454283905224,0.006776309934692241,15.943021647088809,13.0172583846533,3.921775296870824,6
89,2021-09-19,8783401,00:04:03,463737,52.21,5.42,21589.86,2980171895,9967568,18.940479194025926,0.006561239774889021,15.98837424823868,13.047072860165855,3.955274047422461,6
90,2021-09-26,9730824,00:03:56,479825,59.4,5.75,21655.01,2989902719,9996238,20.279943729484707,0.006695219233232458,16.09080913711297,13.081176733074079,4.084294226368599,6
91,2021-10-04,4136082,00:20:17,228355,89.97,15.57,22280.49,2936893666,10023338,18.112509031989664,0.025516902227760475,15.235259520892633,12.338656714585381,4.499476281429027,0
92,2021-10-10,4058686,00:20:28,228253,92.45,15.95,22388.89,2940952352,10048619,17.781523134416634,0.026708151357360484,15.21636983387327,12.338209941853863,4.5266679578331335,6
93,2021-10-17,4054532,00:20:58,230096,92.83,16.21,22497.93,2945006884,10074139,17.62104512898964,0.026893362785150046,15.215345825800766,12.34625189212616,4.530769863411841,6
