report_ending_weekly_starting,number_of_sessions,average_session_length,number_of_unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth,cumulative_sessions,cumulative_subscribers,cohort,sessions_per_user,GB_per_session,log_number_of_sessions,log_number_of_unique_clients,log_tb_downloaded,month
2022-11-20,4033075,00:22:52,230120,120.24,17.1,28440.39,3130421840,12320340,2022-11,17.52596471406223,0.03405342077695059,15.210039670260821,12.34635619097723,4.789489745444719,11
2022-11-27,3735131,00:23:20,227900,121.24,19.13,28580.39,3134153334,12357806,2022-11,16.38934181658622,0.0375810112148677,15.133293449561835,12.336662215233776,4.797772052189602,11
2022-12-04,4110764,00:23:02,235463,124.02,19.4,28580.39,3134153450,12396241,2022-12,17.458216365203874,0.034888891699937044,15.229119457275228,12.369309067568604,4.820442842921731,12
2022-12-11,4254462,00:22:57,238796,122.44,19.64,28721.39,3138403003,12436231,2022-12,17.816303455669274,0.033395526860975605,15.263478872512506,12.383364909941534,4.807621114077212,12
2022-12-18,3933744,00:23:02,229497,118.5,17.38,28856.39,3142331004,12469435,2022-12,17.140720793735866,0.03454215627656502,15.185102202097436,12.343645236501875,4.774912960575186,12
2022-12-25,3723756,00:23:13,224668,108.69,16.82,28856.39,3142333488,12506835,2022-12,16.574483237488206,0.03370521591640268,15.130243394287284,12.322379035926826,4.688499793575096,12
2023-01-01,3988549,00:23:21,239421,114.15,20.61,28856.39,3142336727,12566911,2023-01,16.659144352416874,0.03378672294109963,15.198938063578153,12.385978787557143,4.737513372975805,1
2023-01-08,4032283,00:23:12,238876,118.1,19.35,28856.39,3142339574,12606982,2023-01,16.88023493360572,0.03408738920358516,15.209843274762308,12.383699867823712,4.771531723203316,1
2023-01-15,3762205,00:23:28,215395,122.75,18.01,28856.39,3142339692,12635792,2023-01,17.466538220478654,0.03741422915550854,15.140515779649796,12.280228830807339,4.81014976667463,1
2023-01-22,3783569,00:23:10,217628,126.16,18.45,28998.39,3146115890,12666334,2023-01,17.38548808057787,0.0382205267037551,15.146178302032487,12.290542462156406,4.837550942654783,1
2023-01-29,3886575,00:23:03,220655,124.52,18.13,29140.39,3149994749,12696431,2023-01,17.613808887176816,0.03670326701530268,15.173038865034721,12.304355674762729,4.824466345573407,1
2023-02-05,3867097,00:23:08,222511,121.06,17.31,29278.39,3153853985,12725196,2023-02,17.379352032034372,0.03578136260869588,15.168014654319313,12.312731817568652,4.7962862904635415,2
2023-02-12,4246577,00:23:16,232553,130.73,19.72,29278.39,3153854130,12759912,2023-02,18.260684661131013,0.03542853455853973,15.26162380461758,12.35687343502055,4.873134127573769,2
2023-02-19,4423464,00:23:19,245812,135.39,19.9,29433.39,3158266656,12802542,2023-02,17.995313491611476,0.03510597124787271,15.302433657520478,12.412322295101413,4.9081595025070195,2
2023-02-26,4130936,00:23:30,240235,133.03,19.59,29433.39,3158269897,12840483,2023-02,17.19539617457906,0.036945622009152405,15.23401457364209,12.389372889919816,4.890574666695814,2
2023-03-05,4276715,00:23:13,241670,134.06,20.75,29433.39,3158278054,12875580,2023-03,17.696507634377458,0.036198343822302866,15.268695749496635,12.395328438177026,4.8982874609298115,3
2023-03-12,4330962,00:23:23,242470,132.97,19.89,29433.39,3158281476,12909978,2023-03,17.861846826411515,0.035294698960646624,15.281300246203065,12.39863327036659,4.890123538868615,3
2023-03-19,4349778,00:23:24,245401,132.73,20.34,29585.39,3162619556,12947711,2023-03,17.725184493950717,0.03519030166597008,15.285635367279804,12.41064888623027,4.888316989638111,3
2023-03-26,4460714,00:23:29,247628,135.88,21.25,29741.39,3167068565,12983936,2023-03,18.013770655983976,0.0352253024964165,15.31081940086936,12.419682899020852,4.911772143292383,3
2023-04-02,4518949,00:23:23,251609,135.96,20.55,29741.39,3167079218,13022610,2023-04,17.960204126243497,0.034634159402993935,15.32379000264706,12.435631574233836,4.9123607248279155,4
2023-04-09,4793907,00:23:21,269188,137.93,23.12,29741.39,3167079427,13076380,2023-04,17.808769335928794,0.03359472764073229,15.382856294539238,12.503165299236116,4.926746310087428,4
2023-04-16,4833247,00:23:30,266777,143.66,22.95,29907.39,3171895538,13122959,2023-04,18.11718026666467,0.03447165021775216,15.3910290564942,12.494168382411026,4.967449396646655,4
2023-04-23,4831826,00:23:10,267777,141.36,21.21,32570.61,3249086906,13168612,2023-04,18.04421589606277,0.03364566522056051,15.390735008014639,12.497909823562084,4.951309828011441,4
2023-04-30,4802629,00:22:56,266526,138.95,21.37,32730.93,3253889535,13209532,2023-04,18.01936396449127,0.03338171655566149,15.384674034273988,12.493227078804884,4.934114156188513,4
2023-05-07,4978576,00:22:51,274295,137.85,23.54,32892.32,3258868110,13263303,2023-05,18.150443865181646,0.0324168999328322,15.42065446433602,12.521959448542278,4.926166137469806,5
2023-05-14,5031061,00:23:16,273506,141.12,22.88,37199.73,3376584236,15542720,2023-05,18.394700664702054,0.032597497824017635,15.43114145422603,12.51907883844632,4.949610592258481,5
2023-05-21,4879811,00:23:30,274989,138.82,22.53,37361.08,3381464047,15591948,2023-05,17.745477091810944,0.03306480517380694,15.400617047571126,12.524486375848687,4.933178129911438,5
2023-05-28,4933894,00:23:39,278184,140.57,23.3,37524.96,3386397941,15641105,2023-05,17.736081154919045,0.033213117265997204,15.411639092257364,12.53603804423669,4.945705585343674,5
2023-06-04,5098548,00:22:23,278023,142.29,23.75,37691.01,3391496489,15689292,2023-06,18.338583498487534,0.03256613451516,15.444466351275787,12.53545912306347,4.9578672285576,6
2023-06-11,4875135,00:23:45,276512,148.58,24.08,33720.25,3283686558,13503027,2023-06,17.63082614859391,0.03541645513406296,15.399658354338351,12.530009498641126,5.001123533723661,6
2023-06-18,4970213,00:23:28,277625,149.11,23.4,33892.76,3288656771,13551199,2023-06,17.902613237280505,0.03470877405052862,15.418973254297327,12.534026561196729,5.0046842886028164,6
2023-06-25,4930763,00:23:35,277975,146.3,23.36,34062.43,3293587534,13597643,2023-06,17.73815271157478,0.034408467817252625,15.411004300778018,12.53528646057145,4.9856593080260785,6
2023-07-02,4984429,00:23:31,284276,148.73,23.01,34234.18,3298571963,13648039,2023-07,17.53376648046265,0.03445530069743194,15.421829411186561,12.557700876207253,5.002132581604506,7
2023-07-09,4786929,00:23:28,279872,142.69,25.14,34402.01,3303358892,13698385,2023-07,17.103993968671393,0.03506005624900641,15.38139963642843,12.542087634772592,4.960674444942484,7
2023-07-16,4883904,00:23:27,283135,145.95,23.63,34571.59,3308242796,13748183,2023-07,17.249382803256395,0.034722222222222224,15.401455457999894,12.553679094683996,4.983264097300124,7
2023-07-23,3839117,00:25:23,271599,137.78,20.73,34730.11,3312081913,13790916,2023-07,14.13523982047062,0.04128813995509904,15.160752950205167,12.512081992774775,4.92565821016505,7
2023-07-30,4415252,00:24:05,277793,138.19,22.24,34890.54,3316497161,13840587,2023-07,15.894036206815867,0.03633541188589009,15.300575468533998,12.534631511000745,4.928629549815393,7
2023-08-06,5239199,00:23:38,292911,158.76,25.99,35075.29,3321736360,13897652,2023-08,17.886658404771413,0.03526302398515498,15.471679182017128,12.58762408759032,5.067393627914864,8
2023-08-13,5197777,00:23:29,295216,156.91,24.63,35256.84,3326934137,13954001,2023-08,17.60669137174137,0.03492646952726137,15.46374159214748,12.595462570781663,5.055672392570977,8
2023-08-20,5252529,00:23:28,297266,154.14,24.64,35435.62,3332186666,14011451,2023-08,17.669457657451574,0.034036937254415915,15.474220232866442,12.602382639849585,5.037861280349847,8
2023-08-27,5226917,00:23:31,297622,157.92,25.13,35618.66,3337413583,14068286,2023-08,17.56226690231233,0.03502064410052809,15.469332178479641,12.603579503939958,5.062088575685172,8
2023-09-03,5353246,00:23:30,300441,159.52,26.44,35804.62,3342766829,14124513,2023-09,17.817960930765107,0.03473780207373246,15.493213663858546,12.613006674246012,5.072169306213528,9
2023-09-10,5223012,00:23:27,298211,154.63,24.35,35983.61,3347989840,14175490,2023-09,17.514484710490223,0.0342675835322607,15.468584804945952,12.605556568627064,5.041035166487339,9
2023-09-17,5513829,00:23:19,302708,159.74,25.77,36169.11,3353503602,14227398,2023-09,18.215009183767854,0.033644496410751956,15.522769858115465,12.620523923467974,5.073547493489243,9
2023-09-24,5217859,00:23:30,301045,156.13,23.71,36348.95,3358721461,14276403,2023-09,17.33248849839725,0.034466243721802375,15.467597722466262,12.615015034217883,5.050688993553429,9
2023-10-01,4919711,00:23:28,295434,149.41,22.87,36521.23,3363641172,14321530,2023-10,16.65248752682494,0.035018317132855976,15.40876034690584,12.5962007406281,5.006694204862994,10
